material_id,chgnet_energy_IS2RE,e_form_per_atom_chgnet_uncorrected,e_form_per_atom_chgnet,e_form_per_atom_mp2020_corrected,e_form_per_atom_chgnet_megnet
wbm-1-1,-44.1732,0.3921,0.3921,0.544,0.521
wbm-1-2,-25.7072,0.1639,0.1639,0.126,0.1092
wbm-1-3,-34.7396,0.814,0.814,0.765,0.6459
wbm-1-4,-9.1373,0.0264,0.0264,0.032,0.0293
wbm-1-5,-13.0846,-0.1411,-0.1411,-0.175,-0.2028
wbm-1-6,-16.3863,-0.2754,-0.2754,-0.261,-0.2715
wbm-1-7,-8.4528,-0.2895,-0.2895,-0.295,-0.3076
wbm-1-8,-16.8871,-0.2865,-0.2865,-0.297,-0.2861
wbm-1-9,-14.6759,-0.2499,-0.2499,-0.311,-0.3356
wbm-1-10,-18.2639,0.1411,0.1411,0.039,0.0518
wbm-1-11,-17.003,-0.1144,-0.1144,-0.016,-0.0317
wbm-1-12,-16.7395,-0.5793,-0.7959,-0.639,-0.6447
wbm-1-13,-16.7402,-0.5794,-0.796,-0.64,-0.6449
wbm-1-14,-9.5387,-0.0497,-0.0497,-0.003,-0.0347
wbm-1-15,-11.8541,-0.1245,-0.1245,-0.282,-0.236
wbm-1-16,-13.1979,-0.1347,-0.1347,-0.05,-0.0891
wbm-1-17,-15.4095,0.6175,0.6175,0.297,0.3242
wbm-1-18,-12.0514,-0.0373,-0.0373,-0.161,-0.1057
wbm-1-19,-11.5379,0.0201,0.0201,-0.095,-0.0186
wbm-1-20,-23.9827,-0.131,-0.131,-0.178,-0.1456
wbm-1-21,-10.3933,0.0721,0.0721,0.174,0.3022
wbm-1-22,-10.7596,0.1843,0.1843,0.232,0.3215
wbm-1-23,-25.9238,0.0265,0.0265,0.141,-0.072
wbm-1-24,-13.0909,-0.1141,-0.1141,-0.235,-0.1829
wbm-1-25,-22.2382,-0.2824,-0.2824,-0.275,-0.2896
wbm-1-26,-12.8858,-0.0726,-0.0726,-0.22,-0.1712
wbm-1-27,-22.1185,-0.2754,-0.2754,-0.266,-0.2638
wbm-1-28,-16.3381,-0.127,-0.127,-0.218,-0.2361
wbm-1-29,-15.8805,-0.086,-0.086,-0.003,-0.0189
wbm-1-30,-10.5604,-0.1176,-0.1176,-0.231,-0.1941
wbm-1-31,-12.9874,-0.0943,-0.0943,-0.228,-0.1794
wbm-1-32,-22.1143,-0.2699,-0.2699,-0.27,-0.2807
wbm-1-33,-15.4143,-0.4785,-0.6951,-0.515,-0.5309
wbm-1-34,-14.5349,-0.2895,-0.2895,-0.285,-0.2624
wbm-1-35,-13.2507,-0.1782,-0.1782,-0.295,-0.2214
wbm-1-36,-18.9603,-0.1466,-0.1466,-0.032,-0.1132
wbm-1-37,-17.8547,0.4634,0.4634,0.204,0.288
wbm-1-38,-7.9031,0.1713,0.1713,-0.017,0.0448
wbm-1-39,-25.0517,0.0221,0.0221,-0.008,-0.0177
wbm-1-40,-15.8829,0.1585,0.1585,-0.034,0.0689
wbm-1-41,-15.4907,-0.2499,-0.2499,-0.34,-0.3552
wbm-1-42,-21.8513,-0.2395,-0.2395,-0.286,-0.248
wbm-1-43,-11.548,-0.1608,-0.1608,-0.275,-0.2486
wbm-1-44,-15.2797,-0.2415,-0.2415,-0.329,-0.2862
wbm-1-45,-11.163,-0.1873,-0.1873,-0.241,-0.2097
wbm-1-46,-13.4499,-0.3273,-0.3273,-0.375,-0.3115
wbm-1-47,-12.7405,-0.0479,-0.0479,-0.19,-0.1508
wbm-1-48,-22.0096,-0.2729,-0.2729,-0.249,-0.2453
wbm-1-49,-10.9736,-0.1801,-0.1801,-0.261,-0.1765
wbm-1-50,-22.4651,-0.2664,-0.2664,-0.28,-0.2906
wbm-1-51,-14.2431,-0.186,-0.186,-0.295,-0.2386
wbm-1-52,-18.0061,0.1249,0.1249,0.031,0.0173
wbm-1-53,-10.9535,-0.1691,-0.1691,-0.246,-0.1722
wbm-1-54,-22.527,-0.2725,-0.2725,-0.279,-0.2837
