material_id,grace2l_r6_energy,formula,e_form_per_atom_grace,e_form_per_atom_mp2020_corrected
wbm-1-7323,-68914.4364,C1 Fe1,-34448.3689,0.610492
wbm-1-7723,-13841.9193,Al2 C2 Nb2 O2,-1723.2343,-1.241591
wbm-1-12908,-93.371,Cs1 Hf2,-24.1871,1.119312
wbm-1-12909,-5.423223415e+22,Cs1 Hf3,-1.35580585375e+22,1.221735
wbm-1-20263,-525239245.563,Co4 H8,-43769932.499,-0.009264
wbm-1-30519,-1872.9461,N2 Rh1,-616.3029,-0.077967
wbm-1-44021,-154728.0244,Cr2 O1,-51567.9239,-0.494803
wbm-1-44028,-28.7753,Cr1 O1,-7.0878,-1.779017
wbm-1-44314,-6778536483.7289,Hf1 O1,-3389268234.4125,-2.381765
wbm-1-44841,-41236193.2207,O1 Zr1,-20618089.8631,-2.657589
wbm-1-44842,-8278418880484.166,O2 Zr2,-2069604720114.294,-2.685443
wbm-2-7275,-85105.2106,C4 Fe6 Pb2,-7084.1709,0.389382
wbm-2-28554,-70.7197,Mg2 N2 Pu1,-7.3157,-0.795779
wbm-2-29590,-3402.9457,F2 N2 Th4,-419.0993,-1.862709
wbm-3-7511,-1595.9043,B2 Fe2 N3 Nb3,-151.0292,-0.590409
wbm-3-7677,-924.0383,B2 Co2 N3 V3,-84.4202,-0.535381
wbm-3-33722,-5829614933.2167,I2 Np2,-1457403726.0936,-0.885961
wbm-3-35789,-833.0897,K1 U1,-410.3439,2.015479
wbm-3-57186,-139.4862,Fe2 O2 P2 Ti2,-10.7544,-1.119942
wbm-4-4441,-663583.9591,B2 Fe2 N2 Ta2,-82939.159,-0.588897
wbm-4-11431,-462.6324,F2 Nb2 Se2,-71.9358,-1.598543
wbm-4-37496,-53694230.8096,Np4 Te2,-8949028.7886,-0.72784
wbm-5-7860,-17118.2561,Ba4 Fe4,-2134.5875,0.620085
wbm-5-10012,-119.6386,H6 Mn1 V2,-7.9947,-0.135933
wbm-5-11353,-42.1569,Li1 Np1 P2 Pt2,-0.7219,4.607063
wbm-5-13278,-39.0625,Ge2 Mn2 Sm2,-0.3425,4.73841
wbm-5-21541,-151.8623,Eu4 Te2,-17.4246,-0.505036
