material_id,m3gnet_energy,m3gnet_volume,n_sites,e_form_per_atom_m3gnet,e_form_per_atom_m3gnet_uncorrected,e_form_per_atom_m3gnet_megnet_old,e_form_per_atom_m3gnet_megnet
wbm-1-1,-42.5335,299.7501,8,0.5971,0.5971,0.5705,0.5705
wbm-1-2,-25.729,135.1244,4,0.1585,0.1585,0.1301,0.1301
wbm-1-3,-34.9201,93.4752,4,0.7688,0.7688,0.6534,0.6534
wbm-1-4,-9.0721,77.0655,4,0.0427,0.0427,0.0292,0.0292
wbm-1-5,-13.2389,123.2106,4,-0.1797,-0.1797,-0.2127,-0.2127
wbm-1-6,-16.4225,150.0386,5,-0.2826,-0.2826,-0.2405,-0.2405
wbm-1-7,-8.4536,92.1396,3,-0.2898,-0.2898,-0.3052,-0.3052
wbm-1-8,-16.8511,177.878,6,-0.2804,-0.2804,-0.2844,-0.2844
wbm-1-9,-15.3963,107.5921,4,-0.43,-0.43,-0.3917,-0.3917
wbm-1-10,-19.0411,132.7588,6,0.0115,0.0115,0.0503,0.0503
wbm-1-11,-16.6004,78.5294,4,-0.0138,-0.0138,-0.0439,-0.0439
wbm-1-12,-15.5398,277.7211,7,-0.6245,-0.408,-0.4181,-0.634671
wbm-1-13,-15.5415,278.1349,7,-0.6248,-0.4082,-0.4201,-0.636671
wbm-1-14,-9.3831,81.5447,4,-0.0108,-0.0108,-0.0343,-0.0343
wbm-1-15,-12.4089,92.1631,4,-0.2632,-0.2632,-0.2785,-0.2785
wbm-1-16,-12.8575,72.5752,4,-0.0496,-0.0496,-0.0774,-0.0774
wbm-1-17,-16.6654,94.9583,4,0.3035,0.3035,0.2817,0.2817
wbm-1-18,-12.5932,90.7276,4,-0.1728,-0.1728,-0.1556,-0.1556
wbm-1-19,-11.8093,71.7849,3,-0.0704,-0.0704,-0.0723,-0.0723
wbm-1-20,-23.9341,142.922,6,-0.1229,-0.1229,-0.1527,-0.1527
wbm-1-21,-10.326,146.9723,4,0.089,0.089,0.2484,0.2484
wbm-1-22,-10.8309,130.5462,4,0.1664,0.1664,0.2666,0.2666
wbm-1-23,-26.2733,484.8551,12,-0.0026,-0.0026,-0.0608,-0.0608
wbm-1-24,-13.6304,88.7573,4,-0.249,-0.249,-0.2324,-0.2324
wbm-1-25,-22.3761,132.9864,6,-0.3054,-0.3054,-0.292,-0.292
