material_id,mace_energy,formula,e_form_per_atom_mace,e_form_per_atom_mp2020_corrected
wbm-1-2538,-3086497.1001,Al4 Pu8,-257197.3313,0.081082
wbm-1-2540,-135165.0428,Al2 Pu2,-33782.254,0.152267
wbm-1-4614,-14068.0855,B6 V2 Zn2,-1400.7322,-0.258366
wbm-1-7170,-17135000743184.81,C1 Cl2 Cr2,-3427000148630.761,-0.653116
wbm-1-7178,-67.0994,C1 Cl2 Mn2,-7.4155,-0.629001
wbm-1-7210,-143384.6321,C1 Cl1 Yb2,-35842.7724,-0.924741
wbm-1-7915,-60318.9945,C2 Mn4 S2,-7532.0778,-0.243502
wbm-1-9609,-187.3633,Cd2 U2,-40.7337,0.174715
wbm-1-12552,-54.3221,Ce2 Cr2,-5.7875,0.404241
wbm-1-13252,-73.4578,Cu2 U1,-17.9893,0.166801
wbm-1-14430,-102.7055,Cu1 U2,-25.3412,0.202131
wbm-1-16685,-30065839690.1417,F2 Ga2,-7516459920.2966,-1.771226
wbm-1-16686,-81.8965,F1 Ga1,-38.7095,-1.639993
wbm-1-16687,-253284507878.9284,F2 Ga2,-63321126967.4933,-1.787569
wbm-1-16688,-337.8028,F4 Ga4,-39.9866,-1.80672
wbm-1-16693,-79405075385.2612,F2 In2,-19851268844.2147,-1.867572
wbm-1-16695,-115121464286.0771,F2 In2,-28780366069.4187,-1.873968
wbm-1-18047,-167390328179.0435,Fe1 Pr6 Te2,-18598925348.4939,-0.695592
wbm-1-18057,-5677673758.919,Fe1 Te2 Tm6,-630852635.3502,-0.695014
wbm-1-20801,-122.7452,H4 Pd1 V2,-12.261,-0.052741
wbm-1-21084,-125263446304.3405,Cl2 Cr2 H2,-20877241046.023,-0.58351
wbm-1-21091,-236.1558,Cl2 H2 Mn2,-34.8226,-0.647341
wbm-1-21606,174504371040.8752,Hf1 U1,87252185531.0619,0.21813
wbm-1-21936,-418.0979,I2 Th2,-100.2703,-0.751457
wbm-1-24880,-14245.6933,Cs1 Li1,-7121.4445,0.250623
wbm-1-25840,-76220899466.6691,Li1 Nb3 O4,-9527612426.9142,-2.161646
